rung,engine,k,n,aligned_top1,ci_lo,ci_hi
L1 (logs only),llm-freeform,24,1000,0.024,0.016180168466636995,0.03546290561161149
L1 (logs only),llm-grounded,27,1000,0.027,0.018621382774294995,0.03899873075304015
L1 (logs only),rule-grounded,10,500,0.02,0.010899183596210808,0.03642018324687934
"L3 (FR, no prov.)",llm-freeform,188,1000,0.188,0.16499470988376855,0.21339318741121785
"L3 (FR, no prov.)",llm-grounded,203,1000,0.203,0.17922817876013136,0.2290449157802884
"L3 (FR, no prov.)",rule-grounded,108,500,0.216,0.18216774485419415,0.25416288052796754
L4 (FR + prov.),llm-freeform,183,1000,0.183,0.16026284116890502,0.20816332371093696
L4 (FR + prov.),llm-grounded,199,1000,0.199,0.17542720578942098,0.2248765028188832
L4 (FR + prov.),rule-grounded,108,500,0.216,0.18216774485419415,0.25416288052796754
L2 (raw kubectl),B0 (vanilla LLM),7,139,0.050359712230215826,0.02460555225993026,0.10029837246888487
