term,estimate_logit,odds_ratio,OR_CI_lo,OR_CI_hi,p_value
Intercept,-3.584694844626632,0.027745132914895002,0.017564671640007433,0.04382617655725583,2.6768019487180623e-53
C(configuration)[T.C2],1.2860838885124495,3.618587978341753,2.2390867353769908,5.847999878751822,1.5107890822760957e-07
C(configuration)[T.C3],2.267331282807704,9.653603668662647,6.142974423471099,15.170511444024314,8.268860950671368e-23
C(configuration)[T.C4],2.4854150519522267,12.00610237707013,7.665095369685812,18.805570881578934,1.8755852059069483e-27
C(configuration)[T.C5],2.4450795007095274,11.531466322152795,7.35802998299154,18.072054047934287,1.4621564810633692e-26
C(engine)[T.llm-grounded],0.12544634461552584,1.133654340669149,0.6427680134840391,1.9994339126365315,0.664786333840543
C(engine)[T.rule-grounded],-0.19253347321736164,0.8248667067989136,0.38677420085574765,1.7591790829891742,0.6183136902024351
C(scenario_id)[T.F10],-25.454747685945897,8.813401228582443e-12,0.0,inf,0.9987049586981197
C(scenario_id)[T.F2],1.5606297570363823,4.761819090159786,3.81016068346308,5.951171861550152,7.807812934447098e-43
C(scenario_id)[T.F3],0.4455251851764646,1.5613099573960048,1.2270296515718166,1.986658415256104,0.0002896759438523664
C(scenario_id)[T.F4],-0.7917812236025399,0.45303711576356764,0.3338631229312874,0.6147508190103803,3.695202104528239e-07
C(scenario_id)[T.F5],0.3791263223149401,1.4610075819469313,1.1459308891145334,1.8627154349210282,0.0022203055600335682
C(scenario_id)[T.F6],0.025546059070104647,1.0258751560380266,0.7943423575984667,1.3248945189802337,0.844808626268281
C(scenario_id)[T.F7],1.564870136617406,4.782053881877206,3.8264431153147918,5.976317598359374,4.5718853271411985e-43
C(scenario_id)[T.F8],-0.5901361269426489,0.5542518309917694,0.41474698350993994,0.7406807146805123,6.632057219320988e-05
C(scenario_id)[T.F9],-2.112020431881013,0.12099326066971737,0.07488138971619542,0.19550076705272415,6.2987607234735755e-18
C(subject_id)[T.s2-listmonk],-0.9843085548982013,0.3736975289514861,0.31172713159846094,0.4479874511671678,1.9435345222247677e-26
C(subject_id)[T.s3-healthchecks],-0.2691505213481253,0.7640282444312368,0.6490010044199168,0.8994426115109471,0.0012251037848881863
C(subject_id)[T.s4-umami],-1.1081043125629155,0.3301842943884628,0.27424322972968734,0.39753640725521716,1.2819544973715142e-31
C(subject_id)[T.s5-petclinic],-0.7832698282467974,0.4569095502995081,0.3835107903998488,0.544355836604333,1.8419970000505397e-18
C(configuration)[T.C2]:C(engine)[T.llm-grounded],-0.22314475832596686,0.799999034391177,0.4098909437967517,1.561387156053306,0.5130990783370153
C(configuration)[T.C3]:C(engine)[T.llm-grounded],-0.10787856307820332,0.897736608181557,0.4809761143700412,1.675615469439465,0.7347521034653469
C(configuration)[T.C4]:C(engine)[T.llm-grounded],-0.008340590244019803,0.9916940959772804,0.5345174616078926,1.8398971981903798,0.9788986379812559
C(configuration)[T.C5]:C(engine)[T.llm-grounded],0.0013052668063534656,1.0013061190378274,0.5393091143061044,1.8590710177642689,0.9967012013655132
C(configuration)[T.C2]:C(engine)[T.rule-grounded],0.7633516677537657,2.145455035735101,0.9193225465656102,5.0069231169809,0.07749291774720887
C(configuration)[T.C3]:C(engine)[T.rule-grounded],0.6250220007144145,1.868287060630136,0.8270662761575933,4.220334744071825,0.1327639792157509
C(configuration)[T.C4]:C(engine)[T.rule-grounded],0.40693823156989567,1.502211313561645,0.6663227064577198,3.386705583829288,0.3265258152056355
C(configuration)[T.C5]:C(engine)[T.rule-grounded],0.4472737828125883,1.5640424486143691,0.6935178191932769,3.527276031513028,0.2810586086140473
