scenario_id,rep,configuration,engine_mode,diag_component_live,diag_component_v1_port,diag_component_v2_fix,top1_aligned_live,top1_aligned_v1,top1_aligned_v2,gt_component
F2,r3,C5,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r4,C1,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r4,C2,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r4,C3,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r4,C4,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r4,C5,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r5,C1,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r5,C2,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r5,C3,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r5,C4,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r5,C5,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r6,C1,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r6,C2,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r6,C3,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r6,C4,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r6,C5,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r7,C1,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r7,C2,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r7,C3,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r7,C4,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r7,C5,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r8,C1,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r8,C2,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r8,C3,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r8,C4,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r8,C5,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r9,C1,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r9,C2,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r9,C3,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r9,C4,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r9,C5,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r10,C1,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r10,C2,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r10,C3,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r10,C4,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F2,r10,C5,rule-grounded,migration-job,migration-job,app-deployment,0,0,1,app-deployment
F3,r1,C1,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F3,r1,C2,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r1,C3,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r1,C4,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r1,C5,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r2,C1,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F3,r2,C2,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r2,C3,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r2,C4,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r2,C5,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r3,C1,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F3,r3,C2,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r3,C3,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r3,C4,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r3,C5,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r4,C1,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F3,r4,C2,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r4,C3,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r4,C4,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r4,C5,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r5,C1,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F3,r5,C2,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r5,C3,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r5,C4,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r5,C5,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r6,C1,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F3,r6,C2,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r6,C3,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r6,C4,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r6,C5,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r7,C1,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F3,r7,C2,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r7,C3,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r7,C4,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r7,C5,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r8,C1,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F3,r8,C2,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r8,C3,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r8,C4,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r8,C5,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r9,C1,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F3,r9,C2,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r9,C3,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r9,C4,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r9,C5,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r10,C1,rule-grounded,unknown,unknown,unknown,0,0,0,app-deployment
F3,r10,C2,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r10,C3,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r10,C4,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F3,r10,C5,rule-grounded,app-deployment,app-deployment,app-deployment,1,1,1,app-deployment
F4,r1,C1,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r1,C2,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r1,C3,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r1,C4,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r1,C5,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r2,C1,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r2,C2,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r2,C3,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r2,C4,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r2,C5,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r3,C1,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r3,C2,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r3,C3,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r3,C4,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r3,C5,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r4,C1,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r4,C2,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r4,C3,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r4,C4,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r4,C5,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r5,C1,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r5,C2,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r5,C3,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r5,C4,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r5,C5,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r6,C1,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r6,C2,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r6,C3,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r6,C4,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r6,C5,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r7,C1,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r7,C2,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r7,C3,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r7,C4,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r7,C5,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r8,C1,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r8,C2,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r8,C3,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r8,C4,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r8,C5,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r9,C1,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r9,C2,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r9,C3,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r9,C4,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r9,C5,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r10,C1,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r10,C2,rule-grounded,unknown,unknown,unknown,0,0,0,backend
F4,r10,C3,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r10,C4,rule-grounded,backend,backend,backend,1,1,1,backend
F4,r10,C5,rule-grounded,backend,backend,backend,1,1,1,backend
F5,r1,C1,rule-grounded,unknown,unknown,unknown,0,0,0,frontend
F5,r1,C2,rule-grounded,unknown,unknown,unknown,0,0,0,frontend
F5,r1,C3,rule-grounded,backend,backend,backend,0,0,0,frontend
F5,r1,C4,rule-grounded,backend,backend,frontend,0,0,1,frontend
F5,r1,C5,rule-grounded,backend,backend,frontend,0,0,1,frontend
F5,r2,C1,rule-grounded,unknown,unknown,unknown,0,0,0,frontend
F5,r2,C2,rule-grounded,unknown,unknown,unknown,0,0,0,frontend
F5,r2,C3,rule-grounded,backend,backend,backend,0,0,0,frontend
F5,r2,C4,rule-grounded,backend,backend,frontend,0,0,1,frontend
F5,r2,C5,rule-grounded,backend,backend,frontend,0,0,1,frontend
F5,r3,C1,rule-grounded,unknown,unknown,unknown,0,0,0,frontend
