group1,group2,meandiff,p_adj,lower,upper,reject
C1,C2,0.066,0.0012,0.0192,0.1128,True
C1,C3,0.214,0.0,0.1672,0.2608,True
C1,C4,0.245,0.0,0.1982,0.2918,True
C1,C5,0.237,0.0,0.1902,0.2838,True
C2,C3,0.148,0.0,0.1012,0.1948,True
C2,C4,0.179,0.0,0.1322,0.2258,True
C2,C5,0.171,0.0,0.1242,0.2178,True
C3,C4,0.031,0.3701,-0.0158,0.0778,False
C3,C5,0.023,0.6662,-0.0238,0.0698,False
C4,C5,-0.008,0.9903,-0.0548,0.0388,False
